SMILES,density(g/cm3),1E,1w,1D,2D,4D
*CC(*)c1ccccc1,1.04,-22.21463258,106.0782503,0.6796,0.7478,0.8049
C([*])C([*])(CCC),0.87,-16.82901846,72.09390038,0.52,0.5399,0.5919
C([*])C([*])(CCCCCCC),0.87,-29.48501137,128.1565006,0.5453,0.5753,0.633
C([*])(C)=CCC([*]),0.92,-15.773453,70.07825032,0.5065,0.5782,0.644
C([*])(CCCCCCCC)C([*]),0.87,-32.65053755,142.276,0.5286,0.5823,0.6256
C([*])(C)O([*]),1.09,-21.78703773,90.06807956,0.6522,0.6792,0.751
O([*])C(COCCCCCC)C([*]),0.98,-47.98173933,204.1725446,0.6586,0.7109,0.739
C([*])C([*])(C3=CCC(c2ccc(c1ccccc1)cc2)C=C3),1.06,-52.98412351,260.1565006,0.7808,0.864,0.9019
C([*])C([*])(C3=CC(c2ccc(c1ccccc1)cc2)CC=C3),1.06,-52.98412928,260.1565006,0.7897,0.8549,0.9078
C([*])C([*])(CC1CCCC1),0.9,-25.30943357,112.1252005,0.5283,0.616,0.6691
C([*])C([*])(CC1CCCCC1),0.89,-22.145555,126.1408506,0.52,0.627,0.6827
C([*])C([*])(OCC(C)C),0.95,-24.05121476,102.1044651,0.5598,0.6228,0.6821
C([*])C([*])(OCCCCCC),0.93,-30.37730501,130.1357652,0.5681,0.6363,0.6876
C([*])C([*])(C1CCCC1),0.9,-22.14533317,98.10955045,0.5454,0.6166,0.6731
C1([*])CC(OC(CCC)O1)C([*]),1.07,-47.89467107,144.1150298,0.7554,0.7824,0.8158
C([*])(C)C(C)O([*]),0.99,-28.10653994,118.0993797,0.6321,0.6681,0.7116
C([*])CCCO([*]),0.99,-28.10076863,118.0993797,0.626,0.6674,0.7211
C([*])C([*])(CCCCCCCCCCCCCC),0.87,-51.63541462,226.2660511,0.5514,0.6232,0.67
C([*])C([*])(C(C)(C)C),0.87,-10.500828,86.10955045,0.3581,0.5807,0.6431
C([*])C(C1=CC=CC=C1)O([*]),1.11,-36.65447861,166.0993797,0.8124,0.8153,0.8894
O([*])C(C)C([*]),1.03,-24.93936732,104.146,0.6311,0.6821,0.7295
C([*])C([*])(OCCC),0.97,-36.7060858,88.088815,0.5597,0.6183,0.6785
CC(C=C1)=CC=C1C,1.04,-22.220943,106.0782503,0.6753,0.7315,0.8143
C(C=C1)=CC=C1,1.13,-15.879641,78.04695019,0.7028,0.8007,0.8625
C([*])CCCOCO([*]),1.06,-35.33248442,148.1099444,0.6919,0.7345,0.7928
C([*])COCO([*]),1.15,-29.00251844,120.0786442,0.699,0.7722,0.8466
C([*])C([*])(OCCCCCCCC),0.92,-18.93780288,158.1670653,0.5509,0.6401,0.7026
C([*])C([*])(CCCCCC),0.87,-35.81455871,114.1408506,0.5424,0.5627,0.6009
C([*])CCCCCCCO([*]),0.93,-40.75805674,174.1619799,0.6205,0.6524,0.6869
C([*])C([*])(CCCCCCCCC),0.87,-35.81461617,156.1878008,0.5432,0.6021,0.659
C([*])C([*])(OC),1.03,-14.554558,60.05751488,0.5021,0.6367,0.7071
C([*])(C(C)C)C([*]),0.87,-26.32307159,72.09390038,0.5507,0.5543,0.6083
C([*])C([*])(OC(C)C),0.97,-24.04891825,88.088815,0.5664,0.6295,0.6874
C([*])C([*])(CCC(C)C),0.87,-19.99459282,100.1252005,0.4776,0.5677,0.6139
C([*])C([*])(CCCC(C)C),0.87,-26.32313364,114.1408506,0.5276,0.5728,0.6227
C([*])C([*])(CCCCCC)(CCCCCCCCCC),0.87,-7.33637,254.2973512,0.3654,0.5747,0.6288
C([*])CCCCCO([*]),0.95,-34.42968277,146.1306798,0.631,0.6666,0.7174
[*]CC[*],0.92,-7.33637,30.068,0.3774,0.4533,0.5157
*CCO*,1.09,-21.77178972,90.06807956,0.6853,0.6994,0.7583
C([*])C([*])(OCC),0.99,-17.72035738,74.07316494,0.5462,0.6226,0.6797
C([*])C([*])(C1CCCCC1),0.9,-25.31640093,112.1252005,0.5674,0.6305,0.6859
C([*])C([*])(CC(C)(C)C),0.87,-23.16157388,100.1252005,0.4945,0.5832,0.6383
C([*])C([*])(CC),0.87,-13.66483493,58.07825032,0.4981,0.5272,0.5893
C([*])C([*])(OCCCC),0.95,-18.93774568,102.1044651,0.5509,0.6225,0.6941
C([*])C([*])(CCCC),0.87,-29.49003492,86.10955045,0.5482,0.5515,0.5992
C([*])(C)(CC)C([*]),0.87,-26.32578751,72.09390038,0.5358,0.564,0.6339
C([*])C([*])(C)(C1=CC=CC=C1),1.01,-25.380377,120.0939004,0.6266,0.7554,0.8117
C([*])=CCCC(C)C([*]),0.9,-22.10058179,98.10955045,0.5349,0.5968,0.6518
C([*])C([*])(CCCC(C)(C)C),0.87,-29.49003325,128.2501,0.5412,0.5888,0.6327
C([*])C([*])(C(C=C1)=CC=C1C(C)(C)C),0.96,-34.880348,162.1408506,0.6844,0.7209,0.7655
C([*])C([*])(c1ccc(C(C)CC)cc1),0.96,-34.88001879,162.1408506,0.6557,0.7095,0.7451
C([*])C([*])(C1=CC=C(C)C=C1),1.01,-25.38520678,120.0939004,0.5948,0.7234,0.7828
C([*])=CCC(C)C([*]),0.91,-18.93739311,84.09390038,0.495,0.5855,0.6376
C([*])C([*])(C1=CC=C(OC)C=C1),1.06,-29.44774826,136.088815,0.6767,0.8102,0.8633
C([*])C([*])(c1ccc(CCCCCC)cc1),0.95,-41.20755403,190.1721507,0.662,0.6978,0.7359
C([*])C([*])(c1ccc(COCCCCC)cc1),0.99,-45.26486532,206.1670653,0.6784,0.7421,0.7888
C([*])C([*])(c1ccc(CCCCCCCCCCCCCCCC)cc1),0.91,-72.85167379,330.3286513,0.6499,0.6984,0.7363
C([*])C([*])(c1ccc(CC)cc1),0.99,-28.54970239,134.1095504,0.598,0.7193,0.7697
C([*])C([*])(c1ccc(OCC)cc1),1.04,-32.61429505,150.1044651,0.7028,0.7884,0.832
C([*])C([*])(c1ccc(CCCCCCCCCCCC)cc1),0.92,-60.19359023,274.2660511,0.64,0.7029,0.7385
C([*])C([*])(c1ccc(CCCCCCCCCC)cc1),0.93,-53.86556048,246.234751,0.6426,0.6948,0.7459
C([*])C([*])(c1ccc(CCCC)cc1),0.96,-34.87888404,162.1408506,0.6439,0.6984,0.741
C([*])C([*])(c1ccc(OCCCC)cc1),1,-38.94342596,178.1357652,0.6859,0.7514,0.7937
C([*])C([*])(c1ccc(COCCCC)cc1),1,-42.09979289,192.1514153,0.6944,0.7416,0.7958
C([*])C([*])(c1cc(C)cc(C)c1),0.99,-28.55590657,134.1095504,0.5796,0.7246,0.7797
C([*])C([*])(c1ccc(C)c(C)c1),0.99,-28.55560986,134.1095504,0.7034,0.7341,0.7869
C([*])C([*])(CCC(C)(C)C),0.87,-18.93773135,114.1408506,0.4993,0.5851,0.6354
